microservice;source;entity
ts-assurance-service;assurance.controller.AssuranceController;AddAssuranceInfo
ts-assurance-service;assurance.controller.AssuranceController;AddAssuranceResult
ts-assurance-service;assurance.controller.AssuranceController;Assurance
ts-assurance-service;assurance.controller.AssuranceController;AssuranceTypeBean
ts-assurance-service;assurance.controller.AssuranceController;DeleteAssuranceResult
ts-assurance-service;assurance.controller.AssuranceController;FindAssuranceByOrderId
ts-assurance-service;assurance.controller.AssuranceController;GetAllAssuranceResult
ts-assurance-service;assurance.controller.AssuranceController;GetAssuranceById
ts-assurance-service;assurance.controller.AssuranceController;ModifyAssuranceInfo
ts-assurance-service;assurance.controller.AssuranceController;ModifyAssuranceResult
ts-assurance-service;assurance.controller.AssuranceController;VerifyResult
ts-assurance-service;assurance.domain.AddAssuranceResult;Assurance
ts-assurance-service;assurance.domain.Assurance;AssuranceType
ts-assurance-service;assurance.domain.GetAllAssuranceResult;PlainAssurance
ts-assurance-service;assurance.domain.ModifyAssuranceResult;Assurance
ts-assurance-service;assurance.repository.AssuranceRepository;Assurance
ts-assurance-service;assurance.service.AssuranceService;AddAssuranceInfo
ts-assurance-service;assurance.service.AssuranceService;AddAssuranceResult
ts-assurance-service;assurance.service.AssuranceService;Assurance
ts-assurance-service;assurance.service.AssuranceService;AssuranceTypeBean
ts-assurance-service;assurance.service.AssuranceService;DeleteAssuranceResult
ts-assurance-service;assurance.service.AssuranceService;GetAllAssuranceResult
ts-assurance-service;assurance.service.AssuranceService;ModifyAssuranceInfo
ts-assurance-service;assurance.service.AssuranceService;ModifyAssuranceResult
ts-assurance-service;assurance.service.AssuranceServiceImpl;AddAssuranceInfo
ts-assurance-service;assurance.service.AssuranceServiceImpl;AddAssuranceResult
ts-assurance-service;assurance.service.AssuranceServiceImpl;Assurance
ts-assurance-service;assurance.service.AssuranceServiceImpl;AssuranceType
ts-assurance-service;assurance.service.AssuranceServiceImpl;AssuranceTypeBean
ts-assurance-service;assurance.service.AssuranceServiceImpl;DeleteAssuranceResult
ts-assurance-service;assurance.service.AssuranceServiceImpl;GetAllAssuranceResult
ts-assurance-service;assurance.service.AssuranceServiceImpl;ModifyAssuranceInfo
ts-assurance-service;assurance.service.AssuranceServiceImpl;ModifyAssuranceResult
ts-assurance-service;assurance.service.AssuranceServiceImpl;PlainAssurance
ts-basic-service;fdse.microservice.controller.BasicController;QueryForTravel
ts-basic-service;fdse.microservice.controller.BasicController;QueryStation
ts-basic-service;fdse.microservice.controller.BasicController;ResultForTravel
ts-basic-service;fdse.microservice.domain.GetContactsResult;Contacts
ts-basic-service;fdse.microservice.domain.GetRouteByIdResult;Route
ts-basic-service;fdse.microservice.domain.QueryForTravel;Trip
ts-basic-service;fdse.microservice.domain.ResultForTravel;TrainType
ts-basic-service;fdse.microservice.domain.ReturnSinglePriceConfigResult;PriceConfig
ts-basic-service;fdse.microservice.domain.Trip;TripId
ts-basic-service;fdse.microservice.domain.TripId;Type
ts-basic-service;fdse.microservice.service.BasicService;QueryForTravel
ts-basic-service;fdse.microservice.service.BasicService;QueryStation
ts-basic-service;fdse.microservice.service.BasicService;ResultForTravel
ts-basic-service;fdse.microservice.service.BasicServiceImpl;GetRouteByIdResult
ts-basic-service;fdse.microservice.service.BasicServiceImpl;PriceConfig
ts-basic-service;fdse.microservice.service.BasicServiceImpl;QueryForTravel
ts-basic-service;fdse.microservice.service.BasicServiceImpl;QueryPriceConfigByTrainAndRoute
ts-basic-service;fdse.microservice.service.BasicServiceImpl;QueryStation
ts-basic-service;fdse.microservice.service.BasicServiceImpl;QueryTrainType
ts-basic-service;fdse.microservice.service.BasicServiceImpl;ResultForTravel
ts-basic-service;fdse.microservice.service.BasicServiceImpl;ReturnSinglePriceConfigResult
ts-basic-service;fdse.microservice.service.BasicServiceImpl;Route
ts-basic-service;fdse.microservice.service.BasicServiceImpl;TrainType
ts-basic-service;fdse.microservice.service.BasicServiceImpl;Trip
ts-cancel-service;cancel.controller.CancelController;CalculateRefundResult
ts-cancel-service;cancel.controller.CancelController;CancelOrderInfo
ts-cancel-service;cancel.controller.CancelController;CancelOrderResult
ts-cancel-service;cancel.controller.CancelController;VerifyResult
ts-cancel-service;cancel.domain.Account;DocumentType
ts-cancel-service;cancel.domain.Account;Gender
ts-cancel-service;cancel.domain.ChangeOrderInfo;Order
ts-cancel-service;cancel.domain.ChangeOrderResult;Order
ts-cancel-service;cancel.domain.GetAccountByIdResult;Account
ts-cancel-service;cancel.domain.GetOrderResult;Order
ts-cancel-service;cancel.domain.Order;OrderStatus
ts-cancel-service;cancel.domain.Order;SeatClass
ts-cancel-service;cancel.service.CancelService;CalculateRefundResult
ts-cancel-service;cancel.service.CancelService;CancelOrderInfo
ts-cancel-service;cancel.service.CancelService;CancelOrderResult
ts-cancel-service;cancel.service.CancelServiceImpl;Account
ts-cancel-service;cancel.service.CancelServiceImpl;CalculateRefundResult
ts-cancel-service;cancel.service.CancelServiceImpl;CancelOrderInfo
ts-cancel-service;cancel.service.CancelServiceImpl;CancelOrderResult
ts-cancel-service;cancel.service.CancelServiceImpl;ChangeOrderInfo
ts-cancel-service;cancel.service.CancelServiceImpl;ChangeOrderResult
ts-cancel-service;cancel.service.CancelServiceImpl;DrawBackInfo
ts-cancel-service;cancel.service.CancelServiceImpl;GetAccountByIdInfo
ts-cancel-service;cancel.service.CancelServiceImpl;GetAccountByIdResult
ts-cancel-service;cancel.service.CancelServiceImpl;GetOrderByIdInfo
ts-cancel-service;cancel.service.CancelServiceImpl;GetOrderResult
ts-cancel-service;cancel.service.CancelServiceImpl;NotifyInfo
ts-cancel-service;cancel.service.CancelServiceImpl;Order
ts-cancel-service;cancel.service.CancelServiceImpl;OrderStatus
ts-cancel-service;cancel.service.CancelServiceImpl;SeatClass
ts-config-service;config.controller.ConfigController;Config
ts-config-service;config.controller.ConfigController;Information
ts-config-service;config.controller.ConfigController;Information2
ts-config-service;config.init.InitData;Information
ts-config-service;config.repository.ConfigRepository;Config
ts-config-service;config.service.ConfigService;Config
ts-config-service;config.service.ConfigService;Information
ts-config-service;config.service.ConfigService;Information2
ts-config-service;config.service.ConfigServiceImpl;Config
ts-config-service;config.service.ConfigServiceImpl;Information
ts-config-service;config.service.ConfigServiceImpl;Information2
ts-consign-price-service;consignprice.controller.ConsignPriceController;GetPriceDomain
ts-consign-price-service;consignprice.controller.ConsignPriceController;PriceConfig
ts-consign-price-service;consignprice.init.InitData;PriceConfig
ts-consign-price-service;consignprice.repository.ConsignPriceConfigRepository;PriceConfig
ts-consign-price-service;consignprice.service.ConsignPriceService;GetPriceDomain
ts-consign-price-service;consignprice.service.ConsignPriceService;PriceConfig
ts-consign-price-service;consignprice.service.ConsignPriceServiceImpl;GetPriceDomain
ts-consign-price-service;consignprice.service.ConsignPriceServiceImpl;PriceConfig
ts-consign-service;consign.controller.ConsignController;ConsignRecord
ts-consign-service;consign.controller.ConsignController;ConsignRequest
ts-consign-service;consign.controller.ConsignController;InsertConsignRecordResult
ts-consign-service;consign.repository.ConsignRepository;ConsignRecord
ts-consign-service;consign.service.ConsignService;ConsignRecord
ts-consign-service;consign.service.ConsignService;ConsignRequest
ts-consign-service;consign.service.ConsignService;InsertConsignRecordResult
ts-consign-service;consign.service.ConsignServiceImpl;ConsignRecord
ts-consign-service;consign.service.ConsignServiceImpl;ConsignRequest
ts-consign-service;consign.service.ConsignServiceImpl;GetPriceDomain
ts-consign-service;consign.service.ConsignServiceImpl;InsertConsignRecordResult
ts-contacts-service;contacts.controller.ContactsController;AddContactsInfo
ts-contacts-service;contacts.controller.ContactsController;AddContactsResult
ts-contacts-service;contacts.controller.ContactsController;Contacts
ts-contacts-service;contacts.controller.ContactsController;DeleteContactsInfo
ts-contacts-service;contacts.controller.ContactsController;DeleteContactsResult
ts-contacts-service;contacts.controller.ContactsController;GetAllContactsResult
ts-contacts-service;contacts.controller.ContactsController;GetContactsInfo
ts-contacts-service;contacts.controller.ContactsController;GetContactsResult
ts-contacts-service;contacts.controller.ContactsController;ModifyContactsInfo
ts-contacts-service;contacts.controller.ContactsController;ModifyContactsResult
ts-contacts-service;contacts.controller.ContactsController;VerifyResult
ts-contacts-service;contacts.domain.AddContactsResult;Contacts
ts-contacts-service;contacts.domain.GetAllContactsResult;Contacts
ts-contacts-service;contacts.domain.GetContactsResult;Contacts
ts-contacts-service;contacts.domain.ModifyContactsResult;Contacts
ts-contacts-service;contacts.init.InitData;Contacts
ts-contacts-service;contacts.init.InitData;DocumentType
ts-contacts-service;contacts.repository.ContactsRepository;Contacts
ts-contacts-service;contacts.service.ContactsService;AddContactsInfo
ts-contacts-service;contacts.service.ContactsService;AddContactsResult
ts-contacts-service;contacts.service.ContactsService;Contacts
ts-contacts-service;contacts.service.ContactsService;DeleteContactsResult
ts-contacts-service;contacts.service.ContactsService;GetAllContactsResult
ts-contacts-service;contacts.service.ContactsService;ModifyContactsInfo
ts-contacts-service;contacts.service.ContactsService;ModifyContactsResult
ts-contacts-service;contacts.service.ContactsServiceImpl;AddContactsInfo
ts-contacts-service;contacts.service.ContactsServiceImpl;AddContactsResult
ts-contacts-service;contacts.service.ContactsServiceImpl;Contacts
ts-contacts-service;contacts.service.ContactsServiceImpl;DeleteContactsResult
ts-contacts-service;contacts.service.ContactsServiceImpl;GetAllContactsResult
ts-contacts-service;contacts.service.ContactsServiceImpl;ModifyContactsInfo
ts-contacts-service;contacts.service.ContactsServiceImpl;ModifyContactsResult
ts-execute-service;execute.controller.ExecuteControlller;TicketExecuteInfo
ts-execute-service;execute.controller.ExecuteControlller;TicketExecuteResult
ts-execute-service;execute.domain.GetOrderResult;Order
ts-execute-service;execute.domain.ModifyOrderStatusResult;Order
ts-execute-service;execute.domain.Order;OrderStatus
ts-execute-service;execute.domain.Order;SeatClass
ts-execute-service;execute.serivce.ExecuteService;TicketExecuteInfo
ts-execute-service;execute.serivce.ExecuteService;TicketExecuteResult
ts-execute-service;execute.serivce.ExecuteServiceImpl;GetOrderByIdInfo
ts-execute-service;execute.serivce.ExecuteServiceImpl;GetOrderResult
ts-execute-service;execute.serivce.ExecuteServiceImpl;ModifyOrderStatusInfo
ts-execute-service;execute.serivce.ExecuteServiceImpl;ModifyOrderStatusResult
ts-execute-service;execute.serivce.ExecuteServiceImpl;Order
ts-execute-service;execute.serivce.ExecuteServiceImpl;OrderStatus
ts-execute-service;execute.serivce.ExecuteServiceImpl;TicketExecuteInfo
ts-execute-service;execute.serivce.ExecuteServiceImpl;TicketExecuteResult
ts-food-map-service;food.controller.FoodMapController;GetFoodStoresListResult
ts-food-map-service;food.controller.FoodMapController;GetTrainFoodListResult
ts-food-map-service;food.controller.FoodMapController;QueryFoodStoresInfo
ts-food-map-service;food.controller.FoodMapController;QueryTrainFoodInfo
ts-food-map-service;food.domain.FoodStore;Food
ts-food-map-service;food.domain.GetFoodStoresListResult;FoodStore
ts-food-map-service;food.domain.GetTrainFoodListResult;TrainFood
ts-food-map-service;food.domain.TrainFood;Food
ts-food-map-service;food.init.InitData;Food
ts-food-map-service;food.init.InitData;FoodStore
ts-food-map-service;food.init.InitData;TrainFood
ts-food-map-service;food.repository.FoodStoreRepository;FoodStore
ts-food-map-service;food.repository.TrainFoodRepository;TrainFood
ts-food-map-service;food.service.FoodMapService;FoodStore
ts-food-map-service;food.service.FoodMapService;GetFoodStoresListResult
ts-food-map-service;food.service.FoodMapService;GetTrainFoodListResult
ts-food-map-service;food.service.FoodMapService;TrainFood
ts-food-map-service;food.service.FoodMapServiceImpl;FoodStore
ts-food-map-service;food.service.FoodMapServiceImpl;GetFoodStoresListResult
ts-food-map-service;food.service.FoodMapServiceImpl;GetTrainFoodListResult
ts-food-map-service;food.service.FoodMapServiceImpl;TrainFood
ts-food-service;foodsearch.controller.FoodController;AddFoodOrderInfo
ts-food-service;foodsearch.controller.FoodController;AddFoodOrderResult
ts-food-service;foodsearch.controller.FoodController;CancelFoodOrderInfo
ts-food-service;foodsearch.controller.FoodController;CancelFoodOrderResult
ts-food-service;foodsearch.controller.FoodController;FindByOrderIdInfo
ts-food-service;foodsearch.controller.FoodController;FindByOrderIdResult
ts-food-service;foodsearch.controller.FoodController;FoodOrder
ts-food-service;foodsearch.controller.FoodController;GetAllFoodOfTripInfo
ts-food-service;foodsearch.controller.FoodController;GetAllFoodOfTripResult
ts-food-service;foodsearch.controller.FoodController;UpdateFoodOrderInfo
ts-food-service;foodsearch.controller.FoodController;UpdateFoodOrderResult
ts-food-service;foodsearch.domain.AddFoodOrderResult;FoodOrder
ts-food-service;foodsearch.domain.CancelFoodOrderResult;FoodOrder
ts-food-service;foodsearch.domain.FindByOrderIdResult;FoodOrder
ts-food-service;foodsearch.domain.FoodStore;Food
ts-food-service;foodsearch.domain.GetAllFoodOfTripResult;FoodStore
ts-food-service;foodsearch.domain.GetAllFoodOfTripResult;TrainFood
ts-food-service;foodsearch.domain.GetFoodStoresListResult;FoodStore
ts-food-service;foodsearch.domain.GetRouteResult;Route
ts-food-service;foodsearch.domain.GetTrainFoodListResult;TrainFood
ts-food-service;foodsearch.domain.TrainFood;Food
ts-food-service;foodsearch.domain.UpdateFoodOrderResult;FoodOrder
ts-food-service;foodsearch.repository.FoodOrderRepository;FoodOrder
ts-food-service;foodsearch.service.FoodService;AddFoodOrderInfo
ts-food-service;foodsearch.service.FoodService;AddFoodOrderResult
ts-food-service;foodsearch.service.FoodService;CancelFoodOrderInfo
ts-food-service;foodsearch.service.FoodService;CancelFoodOrderResult
ts-food-service;foodsearch.service.FoodService;FindByOrderIdResult
ts-food-service;foodsearch.service.FoodService;FoodOrder
ts-food-service;foodsearch.service.FoodService;GetAllFoodOfTripResult
ts-food-service;foodsearch.service.FoodService;UpdateFoodOrderInfo
ts-food-service;foodsearch.service.FoodService;UpdateFoodOrderResult
ts-food-service;foodsearch.service.FoodServiceImpl;AddFoodOrderInfo
ts-food-service;foodsearch.service.FoodServiceImpl;AddFoodOrderResult
ts-food-service;foodsearch.service.FoodServiceImpl;CancelFoodOrderInfo
ts-food-service;foodsearch.service.FoodServiceImpl;CancelFoodOrderResult
ts-food-service;foodsearch.service.FoodServiceImpl;FindByOrderIdResult
ts-food-service;foodsearch.service.FoodServiceImpl;FoodOrder
ts-food-service;foodsearch.service.FoodServiceImpl;GetAllFoodOfTripResult
ts-food-service;foodsearch.service.FoodServiceImpl;GetFoodStoresListResult
ts-food-service;foodsearch.service.FoodServiceImpl;GetRouteResult
ts-food-service;foodsearch.service.FoodServiceImpl;GetTrainFoodListResult
ts-food-service;foodsearch.service.FoodServiceImpl;QueryFoodStoresInfo
ts-food-service;foodsearch.service.FoodServiceImpl;QueryForId
ts-food-service;foodsearch.service.FoodServiceImpl;QueryTrainFoodInfo
ts-food-service;foodsearch.service.FoodServiceImpl;Route
ts-food-service;foodsearch.service.FoodServiceImpl;UpdateFoodOrderInfo
ts-food-service;foodsearch.service.FoodServiceImpl;UpdateFoodOrderResult
ts-inside-payment-service;inside_payment.async.AsyncTask;OutsidePaymentInfo
ts-inside-payment-service;inside_payment.controller.InsidePaymentController;AddMoney
ts-inside-payment-service;inside_payment.controller.InsidePaymentController;AddMoneyInfo
ts-inside-payment-service;inside_payment.controller.InsidePaymentController;Balance
ts-inside-payment-service;inside_payment.controller.InsidePaymentController;CreateAccountInfo
ts-inside-payment-service;inside_payment.controller.InsidePaymentController;DrawBackInfo
ts-inside-payment-service;inside_payment.controller.InsidePaymentController;Payment
ts-inside-payment-service;inside_payment.controller.InsidePaymentController;PaymentDifferenceInfo
ts-inside-payment-service;inside_payment.controller.InsidePaymentController;PaymentInfo
ts-inside-payment-service;inside_payment.domain.AddMoney;AddMoneyType
ts-inside-payment-service;inside_payment.domain.GetOrderResult;Order
ts-inside-payment-service;inside_payment.domain.Order;OrderStatus
ts-inside-payment-service;inside_payment.domain.Order;SeatClass
ts-inside-payment-service;inside_payment.domain.Payment;PaymentType
ts-inside-payment-service;inside_payment.init.InitData;CreateAccountInfo
ts-inside-payment-service;inside_payment.init.InitData;Payment
ts-inside-payment-service;inside_payment.init.InitData;PaymentType
ts-inside-payment-service;inside_payment.repository.AddMoneyRepository;AddMoney
ts-inside-payment-service;inside_payment.repository.PaymentRepository;Payment
ts-inside-payment-service;inside_payment.service.InsidePaymentService;AddMoney
ts-inside-payment-service;inside_payment.service.InsidePaymentService;AddMoneyInfo
ts-inside-payment-service;inside_payment.service.InsidePaymentService;Balance
ts-inside-payment-service;inside_payment.service.InsidePaymentService;CreateAccountInfo
ts-inside-payment-service;inside_payment.service.InsidePaymentService;DrawBackInfo
ts-inside-payment-service;inside_payment.service.InsidePaymentService;Payment
ts-inside-payment-service;inside_payment.service.InsidePaymentService;PaymentDifferenceInfo
ts-inside-payment-service;inside_payment.service.InsidePaymentService;PaymentInfo
ts-inside-payment-service;inside_payment.service.InsidePaymentServiceImpl;AddMoney
ts-inside-payment-service;inside_payment.service.InsidePaymentServiceImpl;AddMoneyInfo
ts-inside-payment-service;inside_payment.service.InsidePaymentServiceImpl;AddMoneyType
ts-inside-payment-service;inside_payment.service.InsidePaymentServiceImpl;Balance
ts-inside-payment-service;inside_payment.service.InsidePaymentServiceImpl;CreateAccountInfo
ts-inside-payment-service;inside_payment.service.InsidePaymentServiceImpl;DrawBackInfo
ts-inside-payment-service;inside_payment.service.InsidePaymentServiceImpl;GetOrderByIdInfo
ts-inside-payment-service;inside_payment.service.InsidePaymentServiceImpl;GetOrderResult
ts-inside-payment-service;inside_payment.service.InsidePaymentServiceImpl;ModifyOrderStatusInfo
ts-inside-payment-service;inside_payment.service.InsidePaymentServiceImpl;ModifyOrderStatusResult
ts-inside-payment-service;inside_payment.service.InsidePaymentServiceImpl;Order
ts-inside-payment-service;inside_payment.service.InsidePaymentServiceImpl;OrderStatus
ts-inside-payment-service;inside_payment.service.InsidePaymentServiceImpl;OutsidePaymentInfo
ts-inside-payment-service;inside_payment.service.InsidePaymentServiceImpl;Payment
ts-inside-payment-service;inside_payment.service.InsidePaymentServiceImpl;PaymentDifferenceInfo
ts-inside-payment-service;inside_payment.service.InsidePaymentServiceImpl;PaymentInfo
ts-inside-payment-service;inside_payment.service.InsidePaymentServiceImpl;PaymentType
ts-login-service;login.controller.AccountLoginController;Account
ts-login-service;login.controller.AccountLoginController;LoginInfo
ts-login-service;login.controller.AccountLoginController;LoginResult
ts-login-service;login.controller.AccountLoginController;LogoutInfo
ts-login-service;login.controller.AccountLoginController;LogoutResult
ts-login-service;login.domain.Account;DocumentType
ts-login-service;login.domain.Account;Gender
ts-login-service;login.domain.LoginResult;Account
ts-login-service;login.service.AccountLoginService;LoginInfo
ts-login-service;login.service.AccountLoginService;LoginResult
ts-login-service;login.service.AccountLoginService;LogoutInfo
ts-login-service;login.service.AccountLoginService;LogoutResult
ts-login-service;login.service.AccountLoginServiceImpl;Account
ts-login-service;login.service.AccountLoginServiceImpl;LoginInfo
ts-login-service;login.service.AccountLoginServiceImpl;LoginResult
ts-login-service;login.service.AccountLoginServiceImpl;LogoutInfo
ts-login-service;login.service.AccountLoginServiceImpl;LogoutResult
ts-notification-service;notification.controller.NotificationController;NotifyInfo
ts-notification-service;notification.service.MailService;Mail
ts-notification-service;notification.service.NotificationService;NotifyInfo
ts-notification-service;notification.service.NotificationServiceImpl;Mail
ts-notification-service;notification.service.NotificationServiceImpl;NotifyInfo
ts-order-other-service;other.controller.OrderOtherController;AddOrderResult
ts-order-other-service;other.controller.OrderOtherController;CalculateSoldTicketInfo
